rank,form,source
1,здравствуйте,editorial+frequency
2,привет,editorial+frequency
3,до свидания,editorial+frequency
4,спасибо,editorial+frequency
5,пожалуйста,editorial+frequency
6,да,editorial+frequency
7,нет,editorial+frequency
8,я,editorial+frequency
9,ты,editorial+frequency
10,вы,editorial+frequency
11,он,editorial+frequency
12,она,editorial+frequency
13,мы,editorial+frequency
14,они,editorial+frequency
15,это,editorial+frequency
16,что,editorial+frequency
17,кто,editorial+frequency
18,где,editorial+frequency
19,когда,editorial+frequency
20,как,editorial+frequency
21,почему,editorial+frequency
22,какой,editorial+frequency
23,мой,editorial+frequency
24,ваш,editorial+frequency
25,хорошо,editorial+frequency
26,плохо,editorial+frequency
27,большой,editorial+frequency
28,маленький,editorial+frequency
29,сейчас,editorial+frequency
30,сегодня,editorial+frequency
31,завтра,editorial+frequency
32,вчера,editorial+frequency
33,потом,editorial+frequency
34,здесь,editorial+frequency
35,там,editorial+frequency
36,дом,editorial+frequency
37,семья,editorial+frequency
38,мама,editorial+frequency
39,папа,editorial+frequency
40,дочь,editorial+frequency
41,сын,editorial+frequency
42,девушка,editorial+frequency
43,еда,editorial+frequency
44,вода,editorial+frequency
45,чай,editorial+frequency
46,кофе,editorial+frequency
47,хлеб,editorial+frequency
48,суп,editorial+frequency
49,мясо,editorial+frequency
50,рыба,editorial+frequency
51,овощ,editorial+frequency
52,картошка,editorial+frequency
53,соль,editorial+frequency
54,сахар,editorial+frequency
55,кухня,editorial+frequency
56,комната,editorial+frequency
57,стол,editorial+frequency
58,стул,editorial+frequency
59,кровать,editorial+frequency
60,туалет,editorial+frequency
61,магазин,editorial+frequency
62,улица,editorial+frequency
63,налево,editorial+frequency
64,направо,editorial+frequency
65,прямо,editorial+frequency
66,рядом,editorial+frequency
67,далеко,editorial+frequency
68,Берлин,editorial+frequency
69,Россия,editorial+frequency
70,Болгария,editorial+frequency
71,работа,editorial+frequency
72,день,editorial+frequency
73,утро,editorial+frequency
74,вечер,editorial+frequency
75,ночь,editorial+frequency
76,минута,editorial+frequency
77,час,editorial+frequency
78,один,editorial+frequency
79,два,editorial+frequency
80,три,editorial+frequency
81,много,editorial+frequency
82,мало,editorial+frequency
83,ещё,editorial+frequency
84,очень,editorial+frequency
85,тоже,editorial+frequency
86,и,editorial+frequency
87,или,editorial+frequency
88,но,editorial+frequency
89,потому что,editorial+frequency
90,с,editorial+frequency
91,без,editorial+frequency
92,для,editorial+frequency
93,в,editorial+frequency
94,к,editorial+frequency
95,я хочу,editorial+frequency
96,я могу,editorial+frequency
97,можно,editorial+frequency
98,мне нужно,editorial+frequency
99,надо,editorial+frequency
100,я знаю,editorial+frequency
101,я понимаю,editorial+frequency
102,я думаю,editorial+frequency
103,я говорю,editorial+frequency
104,сказать,editorial+frequency
105,спросить,editorial+frequency
106,повторить,editorial+frequency
107,я вижу,editorial+frequency
108,я слышу,editorial+frequency
109,смотреть,editorial+frequency
110,делать,editorial+frequency
111,дать,editorial+frequency
112,взять,editorial+frequency
113,помочь,editorial+frequency
114,ждать,editorial+frequency
115,идти,editorial+frequency
116,ехать,editorial+frequency
117,прийти,editorial+frequency
118,есть,editorial+frequency
119,пить,editorial+frequency
120,жить,editorial+frequency
121,работать,editorial+frequency
122,спать,editorial+frequency
123,любить,editorial+frequency
124,мне нравится,editorial+frequency
125,у меня есть,editorial+frequency
126,мне плохо,editorial+frequency
127,я не хочу,editorial+frequency
128,я не могу,editorial+frequency
129,я не знаю,editorial+frequency
130,я не понимаю,editorial+frequency
131,повторите, пожалуйста,editorial+frequency
